stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding
5116,,"McMenemy St & Larpenteur Ave","Near side S",  44.991918, -93.086375,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5116,0,1
51166,,"69th Ave N & Humboldt Ave / Fremont Place","Mid block E",  45.079992, -93.298416,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51166,0,1
51178,,"University Ave & 91st Ave NE","Across from S",  45.135980, -93.266840,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51178,0,1
51182,,"Best Buy Corp & 76th St Entrance","Far side E",  44.864632, -93.306318,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51182,0,1
51183,,"12th St N & Gershwin Ave N","Near side E",  44.965606, -92.983319,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51183,0,1
51184,,"Stillwater Blvd & Linden Trail","Far side S",  45.016957, -92.860219,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51184,0,1
51188,,"69th Ave N & Emerson Ave / Dupont Ave","Mid block E",  45.079994, -93.295729,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51188,0,1
51189,,"Dupont Ave N & 67th Ave N","Far side S",  45.076333, -93.294823,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51189,0,1
51199,,"Earl St & Pacific St","Near side N",  44.951213, -93.055653,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51199,0,1
512,,"Lincoln Dr & #5901","Near side N",  44.896814, -93.400635,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=512,0,1
51200,,"5th St Transit Center & Platform B","Near side E",  44.981041, -93.275321,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51200,0,1
51201,,"5th St Transit Center & Platform C","Near side E",  44.981088, -93.275256,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51201,0,1
51202,,"5th St Transit Center & Platform D","Near side E",  44.981150, -93.275171,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51202,0,1
51203,,"West River Rd & Hwy 610 bridge","Far side S",  45.127272, -93.299705,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51203,0,1
51204,,"West River Rd & #9500","Near side N",  45.126754, -93.299276,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51204,0,1
51206,,"3rd Ave N & Washington Ave N","Far side S",  44.984365, -93.272747,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51206,0,1
51207,,"Glenwood Ave & Russell Ave N","Near side W",  44.980785, -93.310953,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51207,0,1
51212,,"Chicago Ave S & 56th St E","Far side S",  44.901269, -93.263053,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51212,0,1
51258,,"East River Rd & Ely St","Near side S",  45.114678, -93.282667,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51258,0,1
51263,,"East St Cloud P&R & Lincoln Ave SE","Near side E",  45.554028, -94.125391,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51263,0,1
51272,,"Chester St & Plato Blvd","Far side S",  44.940824, -93.072816,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51272,0,1
51275,,"Valley West Center & Cub Foods","Across from E",  44.811960, -93.330197,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51275,0,1
51282,,"Old Hwy 8 & 14th St","Across from S",  45.072004, -93.191666,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51282,0,1
51284,,"Lyndale Ave S & 86th St W","Far side N",  44.848194, -93.288404,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51284,0,1
51285,,"Wagon Wheel & Rogers Lake Park","Across from W",  44.875010, -93.140252,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51285,0,1
51286,,"Wagon Wheel & Rogers Lake Park","Near side E",  44.874906, -93.140298,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51286,0,1
51287,,"Lyndale Ave N & 42nd Ave N","Near side S",  45.031583, -93.288108,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51287,0,1
51289,,"Ruth St & Minnehaha Ave","Far side S",  44.962928, -93.015262,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51289,0,1
51290,,"Curve Crest Blvd & Market Dr","Far side W",  45.039752, -92.841220,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51290,0,1
51291,,"Sloan Place & Roselawn Ave","Far side N",  45.000964, -93.087332,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51291,0,1
51293,,"Buford Ave & Eckles Ave","Far side E",  44.984463, -93.185361,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51293,0,1
51294,,"Buford Ave & St Paul Student Center","Far side W",  44.984570, -93.186307,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51294,0,1
51301,,"Harrison St & 3rd Ave","Near side W",  45.201493, -93.387043,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51301,0,1
51302,,"3rd Ave & Golf St","Near side S",  45.199448, -93.387254,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51302,0,1
51303,,"3rd Ave & Main St E","Near side S",  45.198052, -93.387256,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51303,0,1
51304,,"Co Rd D & Hwy 120 (Century)","Far side W",  45.036558, -92.985074,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51304,0,1
